date,air_pressure,water_vapor_pressure,relative_air_humidity,specific_air_humidity,average_cloud_cover,temperature,wind_speed,downfall,cloudy_weather
datetime64[ns],object,float64,float64,float64,float64,float64,float64,float64,float64
2002-07-16 00:00:00,1003.9,13.5,79.0,,,15.9,5.7,0.8,
2002-07-17 00:00:00,1004.8,12.8,88.0,,,12.6,3.6,4.7,
2002-07-18 00:00:00,1003.7,11.1,68.0,,,15.1,3.1,1.3,
2002-07-19 00:00:00,1001.1,14.0,72.0,,,16.4,3.8,0.0,
2002-07-20 00:00:00,1000,12.3,72.0,,,15.4,3.3,4.6,
2002-07-21 00:00:00,996.3,9.8,58.0,,,15.7,3.5,0.0,
2002-07-22 00:00:00,989.7,11.6,63.0,,,15.8,4.0,0.0,
2002-07-23 00:00:00,984.4,12.6,84.0,,,13.1,3.2,0.4,
2002-07-24 00:00:00,986,11.9,86.0,,,12.5,3.4,2.1,
2002-07-25 00:00:00,988.6,11.3,78.0,,,13.1,3.4,0.7,
2002-07-26 00:00:00,987.4,10.3,72.0,,,12.9,7.1,0.3,
2002-07-27 00:00:00,999.4,11.6,68.0,,,14.7,6.5,0.3,
2002-07-28 00:00:00,997.3,14.9,69.0,,,19.1,5.5,0.0,
2002-07-29 00:00:00,1010.2,11.3,72.0,,,15.1,3.9,1.3,
2002-07-30 00:00:00,1004.9,17.1,78.0,,,18.9,3.5,2.3,
2002-07-31 00:00:00,1002.9,16.5,69.0,,,20.8,3.6,0.0,
2002-08-01 00:00:00,1006.1,12.6,75.0,,,16.2,3.6,0.2,
2002-08-02 00:00:00,1005.8,14.7,64.0,,,16.5,4.1,0.0,
2002-08-03 00:00:00,1002.9,12.7,60.0,,,18.5,4.1,0.0,
2002-08-04 00:00:00,1004,10.6,51.0,,,15.9,4.1,0.0,
2002-08-05 00:00:00,1002.7,13.1,61.0,,,18.6,3.6,0.0,
2002-08-06 00:00:00,1003.7,14.3,71.0,,,17.3,4.6,0.0,
2002-08-07 00:00:00,1003.3,15.5,78.0,,,16.5,3.1,0.0,
2002-08-08 00:00:00,998.4,14.6,63.0,,,18.2,3.6,0.0,
2002-08-09 00:00:00,995.6,16.5,70.0,,,19.5,8.4,8.7,
2002-08-10 00:00:00,994.8,18.2,73.0,,,20.5,3.6,0.0,
2002-08-11 00:00:00,992,18.8,82.0,,,20.6,4.1,0.0,
2002-08-12 00:00:00,990.4,16.6,63.0,,,20.5,5.7,0.0,
2002-08-13 00:00:00,995.6,12.8,77.0,,,16.2,4.6,4.3,
2002-08-14 00:00:00,999.8,12.5,74.0,,,15.2,3.1,0.2,
2002-08-15 00:00:00,1000.9,15.1,70.0,,,16.9,3.1,2.0,
