Navn,Stasjon,Tid(norsk normaltid),Middeltemperatur (dogn),Kraftigste middelvind (dogn),Nedbor (dogn),Overskya vaer (dogn)
Trondheim - Voll,SN68860,11.04.2011,7.2,3.2,0.2,1
Trondheim - Voll,SN68860,12.04.2011,4.9,5,15.4,1
Trondheim - Voll,SN68860,13.04.2011,6,3.7,1.4,0
Trondheim - Voll,SN68860,14.04.2011,5.6,3.4,0,0
Trondheim - Voll,SN68860,15.04.2011,8.5,5.2,0.1,1
Trondheim - Voll,SN68860,16.04.2011,6.5,6.8,3.3,1
Trondheim - Voll,SN68860,17.04.2011,7.9,7.3,1.3,1
Trondheim - Voll,SN68860,18.04.2011,5.6,9.4,5.5,0
Trondheim - Voll,SN68860,19.04.2011,7.7,2.9,0,0
Trondheim - Voll,SN68860,20.04.2011,6.5,3.2,0.1,1
Trondheim - Voll,SN68860,21.04.2011,6.3,2.5,0.8,1
Trondheim - Voll,SN68860,22.04.2011,9.4,4.8,5.6,0
Trondheim - Voll,SN68860,23.04.2011,11.3,3,0,0
Trondheim - Voll,SN68860,24.04.2011,12.7,5.7,0,0
Trondheim - Voll,SN68860,25.04.2011,9,4.1,0.1,0
Trondheim - Voll,SN68860,26.04.2011,6.7,6.6,1.5,0
Trondheim - Voll,SN68860,27.04.2011,7.7,3.9,0.2,0
Trondheim - Voll,SN68860,28.04.2011,7.9,4.9,2.4,0
Trondheim - Voll,SN68860,29.04.2011,7.7,3.5,0.3,0
Trondheim - Voll,SN68860,30.04.2011,7.9,3.9,0,0
Trondheim - Voll,SN68860,01.05.2011,7.6,5.6,0,0
Trondheim - Voll,SN68860,02.05.2011,7.7,5.8,0,0
Trondheim - Voll,SN68860,03.05.2011,5.4,4,0.1,0
Trondheim - Voll,SN68860,04.05.2011,5.5,-,0,1
Trondheim - Voll,SN68860,05.05.2011,4.3,-,1,0
Trondheim - Voll,SN68860,06.05.2011,4.6,-,0.1,0
Trondheim - Voll,SN68860,07.05.2011,8.6,-,0,0
Trondheim - Voll,SN68860,08.05.2011,14.2,-,0,0
Trondheim - Voll,SN68860,09.05.2011,16.6,-,0,0
Trondheim - Voll,SN68860,10.05.2011,18.4,4.1,0,0
Trondheim - Voll,SN68860,11.05.2011,15.8,4.9,0,0
Trondheim - Voll,SN68860,12.05.2011,11.3,3.6,0,1
Trondheim - Voll,SN68860,13.05.2011,10,4,8.4,0
