Navn,Stasjon,Tid(norsk normaltid),Midlere lufttrykk i stasjonsnivaa (dogn),Vanndamptrykk (dogn),Midlere relativ luftfuktighet (dogn),Spesifikk luftfuktighet,Gjennomsnittlig skydekke (dogn)
Trondheim - Voll,SN68860,08.06.2002,998.2,11.3,42,-,-
Trondheim - Voll,SN68860,09.06.2002,995.5,11.1,43,-,-
Trondheim - Voll,SN68860,10.06.2002,993.2,11.5,52,-,-
Trondheim - Voll,SN68860,11.06.2002,993.2,10.5,49,-,-
Trondheim - Voll,SN68860,12.06.2002,992.1,11.6,79,-,-
Trondheim - Voll,SN68860,13.06.2002,990.6,11.2,86,-,-
Trondheim - Voll,SN68860,14.06.2002,994.1,10.1,69,-,-
Trondheim - Voll,SN68860,15.06.2002,988.6,9.9,63,-,-
Trondheim - Voll,SN68860,16.06.2002,990.1,11.3,78,-,-
Trondheim - Voll,SN68860,17.06.2002,994.4,12.5,73,-,-
Trondheim - Voll,SN68860,18.06.2002,992.8,13.6,76,-,-
Trondheim - Voll,SN68860,19.06.2002,994.1,12.1,72,-,-
Trondheim - Voll,SN68860,20.06.2002,1000.4,9.5,68,-,-
Trondheim - Voll,SN68860,21.06.2002,999.1,11.3,78,-,-
Trondheim - Voll,SN68860,22.06.2002,996.1,11.6,84,-,-
Trondheim - Voll,SN68860,23.06.2002,986.7,11.8,77,-,-
Trondheim - Voll,SN68860,24.06.2002,997.5,9.9,71,-,-
Trondheim - Voll,SN68860,25.06.2002,994.5,11.5,76,-,-
Trondheim - Voll,SN68860,26.06.2002,989.3,9.2,64,-,-
Trondheim - Voll,SN68860,27.06.2002,986.5,12.1,79,-,-
Trondheim - Voll,SN68860,28.06.2002,989.8,10.7,76,-,-
Trondheim - Voll,SN68860,29.06.2002,992.1,10.5,76,-,-
Trondheim - Voll,SN68860,30.06.2002,987.7,9.9,77,-,-
Trondheim - Voll,SN68860,01.07.2002,980.1,9.3,60,-,-
Trondheim - Voll,SN68860,02.07.2002,974.7,9.1,57,-,-
Trondheim - Voll,SN68860,03.07.2002,979.7,11.3,64,-,-
Trondheim - Voll,SN68860,04.07.2002,990.8,13,69,-,-
Trondheim - Voll,SN68860,05.07.2002,989.8,11.2,81,-,-
Trondheim - Voll,SN68860,06.07.2002,992.7,11.5,81,-,-
Trondheim - Voll,SN68860,07.07.2002,993.2,10.7,70,-,-
Trondheim - Voll,SN68860,08.07.2002,992.2,12,67,-,-
Trondheim - Voll,SN68860,09.07.2002,993.7,13.6,60,-,-
Trondheim - Voll,SN68860,10.07.2002,993.6,16.6,60,-,-
Trondheim - Voll,SN68860,11.07.2002,991.4,13.9,67,-,-
Trondheim - Voll,SN68860,12.07.2002,1002.8,12.2,81,-,-
Trondheim - Voll,SN68860,13.07.2002,1009.5,11.4,72,-,-
Trondheim - Voll,SN68860,14.07.2002,1010.2,11.1,67,-,-
Trondheim - Voll,SN68860,15.07.2002,1006.9,12.8,75,-,-
Trondheim - Voll,SN68860,16.07.2002,1003.9,13.5,79,-,-
Trondheim - Voll,SN68860,17.07.2002,1004.8,12.8,88,-,-
Trondheim - Voll,SN68860,18.07.2002,1003.7,11.1,68,-,-
Trondheim - Voll,SN68860,19.07.2002,1001.1,14,72,-,-
Trondheim - Voll,SN68860,20.07.2002,1000,12.3,72,-,-
Trondheim - Voll,SN68860,21.07.2002,996.3,9.8,58,-,-
Trondheim - Voll,SN68860,22.07.2002,989.7,11.6,63,-,-
Trondheim - Voll,SN68860,23.07.2002,984.4,12.6,84,-,-
Trondheim - Voll,SN68860,24.07.2002,986,11.9,86,-,-
Trondheim - Voll,SN68860,25.07.2002,988.6,11.3,78,-,-
Trondheim - Voll,SN68860,26.07.2002,987.4,10.3,72,-,-
Trondheim - Voll,SN68860,27.07.2002,999.4,11.6,68,-,-
Trondheim - Voll,SN68860,28.07.2002,997.3,14.9,69,-,-
Trondheim - Voll,SN68860,29.07.2002,1010.2,11.3,72,-,-
Trondheim - Voll,SN68860,30.07.2002,1004.9,17.1,78,-,-
Trondheim - Voll,SN68860,31.07.2002,1002.9,16.5,69,-,-
Trondheim - Voll,SN68860,01.08.2002,1006.1,12.6,75,-,-
Trondheim - Voll,SN68860,02.08.2002,1005.8,14.7,64,-,-
Trondheim - Voll,SN68860,03.08.2002,1002.9,12.7,60,-,-
Trondheim - Voll,SN68860,04.08.2002,1004,10.6,51,-,-
Trondheim - Voll,SN68860,05.08.2002,1002.7,13.1,61,-,-
Trondheim - Voll,SN68860,06.08.2002,1003.7,14.3,71,-,-
Trondheim - Voll,SN68860,07.08.2002,1003.3,15.5,78,-,-
Trondheim - Voll,SN68860,08.08.2002,998.4,14.6,63,-,-
Trondheim - Voll,SN68860,09.08.2002,995.6,16.5,70,-,-
Trondheim - Voll,SN68860,10.08.2002,994.8,18.2,73,-,-
Trondheim - Voll,SN68860,11.08.2002,992,18.8,82,-,-
Trondheim - Voll,SN68860,12.08.2002,990.4,16.6,63,-,-
Trondheim - Voll,SN68860,13.08.2002,995.6,12.8,77,-,-
Trondheim - Voll,SN68860,14.08.2002,999.8,12.5,74,-,-
Trondheim - Voll,SN68860,15.08.2002,1000.9,15.1,70,-,-
Trondheim - Voll,SN68860,16.08.2002,1005.9,11.8,68,-,-
Trondheim - Voll,SN68860,17.08.2002,1004.8,15,65,-,-
Trondheim - Voll,SN68860,18.08.2002,1003.8,11.7,43,-,-
Trondheim - Voll,SN68860,19.08.2002,1002.7,11.7,52,-,-
Trondheim - Voll,SN68860,20.08.2002,1001.4,13.9,46,-,-
Trondheim - Voll,SN68860,21.08.2002,1001.9,14.9,67,-,-
Trondheim - Voll,SN68860,22.08.2002,1005.3,15.4,72,-,-
Trondheim - Voll,SN68860,23.08.2002,1007.1,17.4,80,-,-
Trondheim - Voll,SN68860,24.08.2002,1006.8,11.5,50,-,-
Trondheim - Voll,SN68860,25.08.2002,1008.4,14.6,72,-,-
Trondheim - Voll,SN68860,26.08.2002,1008.9,13.8,80,-,-
Trondheim - Voll,SN68860,27.08.2002,1000.4,12.3,72,-,-
Trondheim - Voll,SN68860,28.08.2002,999,10.8,74,-,-
Trondheim - Voll,SN68860,29.08.2002,990.6,13.8,80,-,-
Trondheim - Voll,SN68860,30.08.2002,989,11.7,83,-,-
Trondheim - Voll,SN68860,31.08.2002,987.6,10.5,83,-,-
Trondheim - Voll,SN68860,01.09.2002,1006.1,10.7,75,-,-
Trondheim - Voll,SN68860,02.09.2002,1001.9,13.1,71,-,-
Trondheim - Voll,SN68860,03.09.2002,1010,12.9,88,-,-
Trondheim - Voll,SN68860,04.09.2002,999.8,12.9,80,-,-
Trondheim - Voll,SN68860,05.09.2002,987.5,13.5,65,-,-
Trondheim - Voll,SN68860,06.09.2002,989,11,79,-,-
Trondheim - Voll,SN68860,07.09.2002,992.1,12.6,79,-,-
Trondheim - Voll,SN68860,08.09.2002,1002.2,13.4,80,-,-
Trondheim - Voll,SN68860,09.09.2002,1011.2,10.5,75,-,-
Trondheim - Voll,SN68860,10.09.2002,1011.4,12.5,84,-,-
Trondheim - Voll,SN68860,11.09.2002,1015.9,12.9,70,-,-
Trondheim - Voll,SN68860,12.09.2002,1016.3,14,78,-,-
Trondheim - Voll,SN68860,13.09.2002,1010.8,11.1,90,-,-
Trondheim - Voll,SN68860,14.09.2002,1010.4,7.6,72,-,-
Trondheim - Voll,SN68860,15.09.2002,1005.2,11.1,80,-,-
Trondheim - Voll,SN68860,16.09.2002,997.7,10.8,89,-,-
Trondheim - Voll,SN68860,17.09.2002,993.3,10,88,-,-
Trondheim - Voll,SN68860,18.09.2002,995.8,9.1,86,-,-
Trondheim - Voll,SN68860,19.09.2002,997.6,8.9,84,-,-
Trondheim - Voll,SN68860,20.09.2002,998.7,8.5,82,-,-
Trondheim - Voll,SN68860,21.09.2002,998.9,9.2,90,-,-
Trondheim - Voll,SN68860,22.09.2002,1006.9,6.5,80,-,-
Trondheim - Voll,SN68860,23.09.2002,1004.2,8.4,82,-,-
Trondheim - Voll,SN68860,24.09.2002,998.8,7.8,81,-,-
Trondheim - Voll,SN68860,25.09.2002,997.8,7,86,-,-
Trondheim - Voll,SN68860,26.09.2002,1000.2,5.9,77,-,-
Trondheim - Voll,SN68860,27.09.2002,1000.1,9.8,78,-,-
Trondheim - Voll,SN68860,28.09.2002,996.8,10.9,80,-,-
Trondheim - Voll,SN68860,29.09.2002,999.6,9.4,80,-,-
Trondheim - Voll,SN68860,30.09.2002,999.6,8.7,87,-,-
Trondheim - Voll,SN68860,01.10.2002,1007.5,7,87,-,-
Trondheim - Voll,SN68860,02.10.2002,1007.1,8.1,88,-,-
Trondheim - Voll,SN68860,03.10.2002,1000.3,8.8,86,-,-
Trondheim - Voll,SN68860,04.10.2002,996.8,9.3,85,-,-
Trondheim - Voll,SN68860,05.10.2002,1000,7.9,94,-,-
Trondheim - Voll,SN68860,06.10.2002,1007.8,5.4,86,-,-
Trondheim - Voll,SN68860,07.10.2002,1009.3,3.8,60,-,-
Trondheim - Voll,SN68860,08.10.2002,1009.3,4.1,55,-,-
